imageid,ear_position,orbital_tightening,muzzle_tension,whiskers_position,head_position,overall_impression
edf0d101-593f-43cf-b9f4-77feb1e81c1b.jpeg,1,1,1,1,1,1
4558c0a3-1071-4031-ab81-1ae493afcd83.jpeg,0,0,0,0,0,0
1518b969-b1f7-4dd7-af4b-ff67ab9de8b8.png,0,0,0,0,0,0
954a6713-1eef-48ac-ba97-0e9ef313db4c.jpeg,1,1,1,0,1,1
0c63031e-3096-4614-a689-455f96b6b838.jpeg,0,0,0,0,0,0
4abede17-b0b0-47e3-8cd8-37cb111defe1.jpeg,0,0,0,0,1,0
f411cc47-5be8-4311-9e1a-8ac43c4a5908.png,0,0,1,0,0,0
d7a5be8e-8863-450a-b346-018cb94dfe99.jpeg,1,1,0,1,0,1
8760111b-3d14-4e0c-af9e-17bd09eba813.JPG,0,0,0,0,1,0
ee699f0d-43e1-4533-b3ce-e4468ab196ab.jpeg,1,0,0,0,1,0
15c5baad-647d-470a-8411-3dd6bfd4493e.png,0,0,0,0,0,0
85c83d53-075c-4f5e-b616-79f3149e6b98.png,0,0,0,0,0,0
700aeef4-f6b5-4348-b0ae-9541ddf1b091.jpeg,0,0,0,0,1,0
9e50ee93-ffd9-419d-9e56-a0f5854c6ed6.png,1,1,1,0,0,0
ec6a5fa6-817c-4ba1-a734-8d14e91f0e3a.png,1,1,0,0,0,0
0541d04b-9ad5-483d-af51-685af5aff0a6.jpeg,0,0,0,0,0,0
0d7d7311-3c8f-4f8e-bd31-805f1c814530.jpeg,0,0,1,0,0,0
697a51b0-db15-43a6-a7f9-cb699a8b0b01.png,1,1,0,0,0,0
03a39431-bc9d-4b46-ab8a-5f163fcd7555.png,0,1,0,0,1,0
17fea988-c6d6-4bef-919c-59a389611dd8.jpeg,1,1,0,0,0,0
d111e854-7180-44ad-86d3-19e6e9cc0e0b.jpeg,0,0,1,1,0,0
e6cacbf5-6bf3-49e1-b3f4-0a51c1fcc631.jpeg,1,1,0,1,0,0
7110b078-4100-4df8-b345-9aec64cbedb0.png,0,0,0,0,0,0
511a1b61-511e-4dcf-b8c4-519447a73f48.jpeg,1,0,1,0,0,0
e31159da-b54c-466a-90a1-78d08989db1c.png,0,0,1,0,0,0
8aff1399-1690-4946-9c6c-ac11eaa1ff33.png,0,0,0,0,0,0
39911a0c-81f8-4b99-bc07-bcef3b9ed419.jpeg,0,0,1,1,0,1
480afc9d-ab1d-40ab-8af6-153d4d483ad1.jpeg,1,1,0,1,1,0
561afecd-0e8c-48be-b960-13dba7fdb9ef.jpeg,0,1,0,0,1,0
ce9de10f-191d-45e6-9b97-7d7b8e4ff7b3.png,0,1,0,1,0,0
a513c8b3-d8b1-4d31-88be-05cb56c1dc46.jpeg,1,1,0,0,0,0
a8a3a3b3-1bdb-4659-91d9-379863e0f591.jpeg,0,1,1,1,0,0
79f4d711-5ded-4e9d-9faa-7ec6a19ed840.jpeg,0,1,1,1,0,0
aa303441-8d58-4d48-a7d6-331d4c44e6aa.jpeg,0,1,0,0,0,0
339b5185-57ce-4974-86b1-e5a98edb7d1b.jpeg,0,0,0,0,0,0
0187d815-1a9e-49d7-9deb-3cb8bd9b70a6.jpeg,1,1,1,1,0,0
6c5c1495-d318-403c-a418-a5ae94891445.jpeg,1,0,0,0,0,0
0d94ca94-61fc-400b-a1f1-430fac1f9c48.jpeg,0,1,1,1,1,0
64ceeb15-fe11-4ba6-95f1-cafb40c9e516.jpeg,0,0,0,0,0,0
67b41fd5-87ae-4986-b1f7-9a01f613b086.jpeg,0,1,0,0,0,0
fab57875-8ce6-4680-ae76-c8a8c3ed40ca.jpeg,1,1,1,1,0,0
893770c0-f90b-47b1-9f7c-d8b9604c09de.JPG,0,0,1,1,0,0
836f4871-17f5-4e1a-8a34-1dd91d40351d.jpg,0,0,0,0,0,0
c1b71f95-9116-498b-b11f-f5c5af6c48bc.jpeg,1,0,0,0,0,0
5e083ee7-de1f-410b-a998-1113b818491e.jpeg,0,0,0,0,0,0
4d5910e1-163f-4519-a1b5-ac030c106bcd.png,0,0,0,0,0,0
b1d7f9d1-61e7-44d3-af0e-6d104c1e8ffe.jpeg,0,0,1,0,1,0
638cca36-84c0-41f1-971b-596cadf06181.png,1,0,0,0,0,0
7769d683-431b-4711-964c-6310dcd10d64.jpeg,0,0,0,0,0,0
5fe7af70-147b-41c3-bfa5-dda0a763cd7d.png,0,1,1,1,0,0
1e9e8b43-cdce-4bcf-ab76-9fd5318a4c01.jpeg,0,1,1,1,1,0
5e119e3f-d401-4f8a-a360-13ffc1d0b4d1.jpeg,0,1,1,1,0,0
100d19a7-46bd-41c3-8be5-7f01f7f1a715.jpeg,1,0,1,0,0,0
9090eb5b-5640-4073-91dd-6b69c779c351.jpeg,0,0,1,1,0,0
88d4375a-8ecf-4ace-a93e-57474af91ad6.png,1,1,0,0,1,0
38cf149d-7c7c-4ea0-8d30-eed597beb481.jpeg,1,1,0,0,1,0
a91cbed1-f094-4eda-b1c3-86101558858a.png,0,0,0,0,0,0
0eeb460d-5d0f-4bf8-89ad-8591ce3cbe16.jpg,0,0,1,1,0,0
cf9c70a0-438c-4831-b7a6-9d1f7da87991.jpeg,0,0,0,0,0,0
064060f5-8588-4518-83a8-e69443fb1118.png,1,1,1,1,0,0
14cc7cae-cea4-48d6-a0da-b917054c4d97.jpeg,0,0,1,1,0,0
47cb8e49-c837-4461-8d9f-ba0716117416.png,1,0,0,1,0,0
75178e64-6aca-4bf8-8d14-017f7b504eb6.png,0,0,1,1,1,0
bb8a17e8-f5f0-4a96-819a-14b1d0cf841c.jpeg,0,0,0,0,0,0
13a5c08a-1413-4517-a9f1-b5443db51ded.png,1,1,0,0,1,0
31ecc735-0091-4e4f-aefb-4bd909cffb80.png,0,0,0,0,0,0
7b311944-9c7c-4fc1-ae48-38b91b105710.jpeg,0,0,0,0,0,0
c8866501-c11c-41be-b31d-4ae6c4555501.png,0,0,1,1,1,0
37d64a9f-530e-47d1-8314-898ab441f081.jpg,0,1,0,0,0,0
f107c6ef-1968-4993-8e00-f3dbf8176d99.jpg,0,0,0,0,0,0
8c78089b-f70b-4d6a-bb78-507f5e8a4814.jpeg,0,0,0,0,0,0
ec4cae7e-0980-413e-98c3-38e60d1e8780.jpg,0,0,0,0,0,0
f41748b1-a875-4811-b80a-aa878c08066c.jpeg,0,0,0,0,0,0
6babf13f-0131-48df-9f7f-7f1f041f6dbf.png,0,1,0,0,1,0
985f71a3-99f8-41ac-b13c-b37e5a468cf3.jpeg,0,0,0,1,0,0
9149c158-736a-41a9-95a9-ff38784e07ba.png,0,0,0,0,0,0
07f04ddb-6c09-417c-9e04-eb4d85b38c49.jpeg,0,0,0,0,0,0
38719e05-6f7a-415f-bcbc-f378ab9797d8.png,1,0,0,0,0,0
17d3c861-189f-4d67-8b40-06141a3da64a.jpeg,0,0,1,1,1,0
