imageid,ear_position,orbital_tightening,muzzle_tension,whiskers_position,head_position,overall_impression
edf0d101-593f-43cf-b9f4-77feb2e82c1b.jpeg,2,1,1,1,2,1
4558c0a3-2071-4031-ab82-1ae493afcd83.jpeg,0,0,0,0,0,0
1518b969-b2f7-4dd7-af4b-ff67ab9de8b8.png,0,0,0,0,0,0
954a6723-1eef-48ac-ba97-0e9ef323db4c.jpeg,1,1,1,0,1,1
0c63032e-3096-4614-a689-455f96b6b838.jpeg,0,0,0,0,0,0
4abede27-b0b0-47e3-8cd8-37cb111defe2.jpeg,0,0,0,0,1,0
f422cc47-5be8-4312-9e1a-8ac43c4a5908.png,0,0,1,0,0,0
d7a5be8e-8863-450a-b346-028cb94dfe99.jpeg,1,1,0,1,0,1
8760221b-3d14-4e0c-af9e-17bd09eba823.JPG,0,0,0,0,1,0
ee699f0d-43e1-4533-b3ce-e4468ab296ab.jpeg,1,0,0,0,1,0
15c5baad-647d-470a-8421-3dd6bfd4493e.png,0,0,0,0,0,0
85c83d53-075c-4f5e-b616-79f3149e6b98.png,0,0,0,0,0,0
700aeef4-f6b5-4348-b0ae-9542ddf1b092.jpeg,0,0,0,0,1,0
9e50ee93-ffd9-429d-9e56-a0f5854c6ed6.png,2,1,1,0,0,0
ec6a5fa6-827c-4ba1-a734-8d14e92f0e3a.png,1,2,0,0,0,0
0541d04b-9ad5-483d-af51-685af5aff0a6.jpeg,0,0,0,0,0,0
0d7d7322-3c8f-4f8e-bd32-805f2c814530.jpeg,0,0,1,0,0,0
697a52b0-db15-43a6-a7f9-cb699a8b0b02.png,2,2,0,0,0,0
03a39432-bc9d-4b46-ab8a-5f163fcd7555.png,0,1,0,0,1,0
27fea988-c6d6-4bef-919c-59a389612dd8.jpeg,2,1,0,0,0,0
d112e854-7180-44ad-86d3-19e6e9cc0e0b.jpeg,0,0,1,1,0,0
e6cacbf5-6bf3-49e1-b3f4-0a52c2fcc631.jpeg,1,1,0,1,0,0
7120b078-4100-4df8-b345-9aec64cbedb0.png,0,0,0,0,0,0
522a2b61-522e-4dcf-b8c4-519447a73f48.jpeg,1,0,2,0,0,0
e31159da-b54c-466a-90a1-78d08989db1c.png,0,0,1,0,0,0
8aff1399-1690-4946-9c6c-ac21eaa1ff33.png,0,0,0,0,0,0
39912a0c-82f8-4b99-bc07-bcef3b9ed419.jpeg,0,0,1,2,0,1
480afc9d-ab2d-40ab-8af6-153d4d483ad1.jpeg,1,1,0,1,1,0
562afecd-0e8c-48be-b960-23dba7fdb9ef.jpeg,0,1,0,0,1,0
ce9de10f-291d-45e6-9b97-7d7b8e4ff7b3.png,0,1,0,1,0,0
a513c8b3-d8b2-4d32-88be-05cb56c2dc46.jpeg,2,1,0,0,0,0
a8a3a3b3-1bdb-4659-92d9-379863e0f591.jpeg,0,2,1,1,0,0
79f4d712-5ded-4e9d-9faa-7ec6a29ed840.jpeg,0,1,1,1,0,0
aa303441-8d58-4d48-a7d6-332d4c44e6aa.jpeg,0,2,0,0,0,0
339b5185-57ce-4974-86b2-e5a98edb7d1b.jpeg,0,0,0,0,0,0
0187d815-1a9e-49d7-9deb-3cb8bd9b70a6.jpeg,1,1,1,1,0,0
6c5c1495-d328-403c-a418-a5ae94892445.jpeg,1,0,0,0,0,0
0d94ca94-62fc-400b-a2f2-430fac2f9c48.jpeg,0,1,1,1,1,0
64ceeb25-fe11-4ba6-95f2-cafb40c9e526.jpeg,0,0,0,0,0,0
67b41fd5-87ae-4986-b2f7-9a02f613b086.jpeg,0,2,0,0,0,0
fab57875-8ce6-4680-ae76-c8a8c3ed40ca.jpeg,1,1,1,1,0,0
893770c0-f90b-47b2-9f7c-d8b9604c09de.JPG,0,0,1,1,0,0
836f4871-27f5-4e2a-8a34-1dd91d40352d.jpg,0,0,0,0,0,0
c2b71f95-9226-498b-b12f-f5c5af6c48bc.jpeg,2,0,0,0,0,0
5e083ee7-de2f-410b-a998-1113b818491e.jpeg,0,0,0,0,0,0
4d5910e2-263f-4529-a2b5-ac030c206bcd.png,0,0,0,0,0,0
b2d7f9d2-61e7-44d3-af0e-6d204c1e8ffe.jpeg,0,0,1,0,1,0
638cca36-84c0-41f1-972b-596cadf06182.png,2,0,0,0,0,0
7769d683-431b-4712-964c-6310dcd20d64.jpeg,0,0,0,0,0,0
5fe7af70-147b-41c3-bfa5-dda0a763cd7d.png,0,2,1,1,0,0
1e9e8b43-cdce-4bcf-ab76-9fd5328a4c01.jpeg,0,1,1,1,1,0
5e129e3f-d402-4f8a-a360-13ffc2d0b4d1.jpeg,0,1,1,1,0,0
200d19a7-46bd-41c3-8be5-7f02f7f2a725.jpeg,1,0,1,0,0,0
9090eb5b-5640-4073-92dd-6b69c779c351.jpeg,0,0,1,1,0,0
88d4375a-8ecf-4ace-a93e-57474af91ad6.png,1,1,0,0,2,0
38cf149d-7c7c-4ea0-8d30-eed597beb481.jpeg,2,1,0,0,1,0
a91cbed2-f094-4eda-b1c3-86102558858a.png,0,0,0,0,0,0
0eeb460d-5d0f-4bf8-89ad-8591ce3cbe16.jpg,0,0,1,1,0,0
cf9c70a0-438c-4832-b7a6-9d1f7da87991.jpeg,0,0,0,0,0,0
064060f5-8588-4518-83a8-e69443fb2228.png,1,2,1,1,0,0
14cc7cae-cea4-48d6-a0da-b917054c4d97.jpeg,0,0,1,1,0,0
47cb8e49-c837-4461-8d9f-ba0726117416.png,1,0,0,1,0,0
75178e64-6aca-4bf8-8d24-017f7b504eb6.png,0,0,1,1,1,0
bb8a27e8-f5f0-4a96-819a-24b2d0cf842c.jpeg,0,0,0,0,0,0
23a5c08a-2413-4527-a9f2-b5443db52ded.png,2,1,0,0,1,0
32ecc735-0091-4e4f-aefb-4bd909cffb80.png,0,0,0,0,0,0
7b322944-9c7c-4fc1-ae48-38b91b205720.jpeg,0,0,0,0,0,0
c8866502-c22c-41be-b32d-4ae6c4555501.png,0,0,2,2,1,0
37d64a9f-530e-47d2-8324-898ab441f082.jpg,0,1,0,0,0,0
f207c6ef-1968-4993-8e00-f3dbf8276d99.jpg,0,0,0,0,0,0
8c78089b-f70b-4d6a-bb78-507f5e8a4814.jpeg,0,0,0,0,0,0
ec4cae7e-0980-413e-98c3-38e60d2e8780.jpg,0,0,0,0,0,0
